Campaign performance
"June 1, 2024 - December 5, 2024"
Campaign,Campaign state,Campaign type,Day,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
Mojaa Search Q4,Enabled,Search,2024-09-05,288,"2,037",14.14%,MAD,1.92,552.07,29.26%,81.72%,1.00,0,552.07,0.35%
Mojaa Search Q4,Enabled,Search,2024-09-06,273,"2,323",11.75%,MAD,2.12,578.92,27.73%,56.27%,6.00,0,96.49,2.20%
Mojaa Search Q4,Enabled,Search,2024-09-07,447,"4,594",9.73%,MAD,1.28,571.78,16.68%,40.08%,6.00,0,95.30,1.34%
Mojaa Search Q4,Enabled,Search,2024-09-08,572,"5,606",10.20%,MAD,1.00,572.98,14.57%,37.85%,7.00,0,81.85,1.22%
Mojaa Search Q4,Enabled,Search,2024-09-09,558,"5,494",10.16%,MAD,1.02,569.52,15.09%,37.10%,3.00,0,189.84,0.54%
Mojaa Search Q4,Enabled,Search,2024-09-10,493,"5,293",9.31%,MAD,1.19,585.12,16.11%,38.90%,1.00,0,585.12,0.20%
Mojaa Search Q4,Enabled,Search,2024-09-11,407,"4,756",8.56%,MAD,1.37,555.92,15.07%,36.38%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-12,299,"3,352",8.92%,MAD,1.06,316.81,15.31%,33.32%,1.00,0,316.81,0.33%
Mojaa Search Q4,Enabled,Search,2024-09-13,258,"2,424",10.64%,MAD,0.61,157.48,15.43%,25.01%,1.00,0,157.48,0.39%
Mojaa Search Q4,Enabled,Search,2024-09-14,245,"2,143",11.43%,MAD,0.45,109.05,14.53%,21.13%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-15,216,"2,088",10.34%,MAD,0.44,94.42,12.79%,17.83%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-16,174,"1,850",9.41%,MAD,0.44,77.13,11.24%,15.07%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-17,152,"1,726",8.81%,MAD,0.40,60.92,8.08%,12.28%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-18,105,"1,127",9.32%,MAD,0.30,31.46,8.22%,11.24%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-19,75,734,10.22%,MAD,0.23,17.60,8.25%,11.52%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-20,78,687,11.35%,MAD,0.22,17.17,8.85%,12.42%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-21,106,998,10.62%,MAD,0.24,25.37,11.05%,15.47%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-22,93,936,9.94%,MAD,0.25,22.88,9.59%,15.01%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-23,72,720,10.00%,MAD,0.21,14.90,7.81%,11.43%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-24,60,522,11.49%,MAD,0.25,15.04,8.40%,16.40%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-25,54,536,10.07%,MAD,0.20,10.56,7.59%,13.62%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-26,42,567,7.41%,MAD,0.57,24.06,6.56%,15.30%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-27,44,548,8.03%,MAD,0.24,10.62,8.86%,13.68%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-28,46,587,7.84%,MAD,0.50,22.94,9.51%,15.85%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-29,31,517,6.00%,MAD,0.26,8.17,2.16%,10.22%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-09-30,48,455,10.55%,MAD,0.15,7.31,9.21%,12.36%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-01,41,556,7.37%,MAD,0.18,7.40,7.42%,10.95%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-02,39,520,7.50%,MAD,0.22,8.72,4.58%,11.75%,1.00,0,8.72,2.56%
Mojaa Search Q4,Enabled,Search,2024-10-03,37,545,6.79%,MAD,0.46,17.07,3.01%,10.15%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-04,23,469,4.90%,MAD,0.31,7.19,2.65%,6.84%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-05,53,652,8.13%,MAD,0.37,19.72,3.15%,9.31%,1.00,0,19.72,1.89%
Mojaa Search Q4,Enabled,Search,2024-10-06,60,816,7.35%,MAD,0.22,12.90,2.75%,8.50%,1.00,0,12.90,1.67%
Mojaa Search Q4,Enabled,Search,2024-10-07,47,779,6.03%,MAD,0.20,9.56,3.43%,6.60%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-08,67,873,7.67%,MAD,0.23,15.22,6.21%,11.11%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-09,82,909,9.02%,MAD,0.38,31.18,5.19%,10.61%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-10,92,915,10.05%,MAD,0.24,22.06,7.12%,15.59%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-11,45,610,7.38%,MAD,0.18,8.24,3.78%,8.42%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-12,65,806,8.06%,MAD,0.19,12.06,6.31%,11.71%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-13,73,874,8.35%,MAD,0.16,12.00,6.54%,11.77%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-14,63,797,7.90%,MAD,0.21,13.24,7.88%,11.17%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-15,76,930,8.17%,MAD,0.16,11.94,8.31%,13.80%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-16,71,783,9.07%,MAD,0.23,16.59,9.13%,16.01%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-17,67,575,11.65%,MAD,0.15,9.90,14.67%,22.46%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-18,54,531,10.17%,MAD,0.20,10.95,12.92%,19.96%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-19,50,556,8.99%,MAD,0.20,9.97,9.70%,16.60%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-20,41,572,7.17%,MAD,0.11,4.43,7.84%,18.00%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-21,28,442,6.33%,MAD,0.26,7.17,5.15%,16.39%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-22,20,364,5.49%,MAD,0.15,3.01,1.75%,16.96%,1.00,0,3.01,5.00%
Mojaa Search Q4,Enabled,Search,2024-10-23,18,360,5.00%,MAD,0.10,1.88,2.30%,18.97%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-24,14,323,4.33%,MAD,0.13,1.82,0.64%,19.43%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-25,21,385,5.45%,MAD,0.27,5.62,2.77%,21.33%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-26,14,259,5.41%,MAD,0.33,4.57,3.48%,20.43%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-27,26,376,6.91%,MAD,0.20,5.25,2.01%,16.78%,1.00,0,5.25,3.85%
Mojaa Search Q4,Enabled,Search,2024-10-28,22,287,7.67%,MAD,0.66,14.49,4.35%,19.37%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-29,15,311,4.82%,MAD,0.32,4.84,1.41%,18.02%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-30,14,324,4.32%,MAD,0.82,11.45,1.34%,12.37%,0.00,0,0,0.00%
Mojaa Search Q4,Enabled,Search,2024-10-31,14,301,4.65%,MAD,0.37,5.21,2.14%,15.00%,0.00,0,0,0.00%
