DocEntry,DocNum,CreationDate,CardCode,CardName,DocCurrency,DocRate,NumAtCard,Reference1,Comments,JournalMemo,ItemCode,ItemDescription,ShipDate,Quantity,Price,PriceAfterVAT,Currency,WarehouseCode,Rate,BarCode,GrossPrice,GrossTotal,RRP,Article,JumiaSKU,FOC,UnitsOfMeasurment,source,foldername,filename,created_at,id
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/10US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043578,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,cb80f8d0-afdc-4800-886e-dd8130af4aa2
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/10-US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043608,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,42449b10-92a7-4292-a961-e6da66337747
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/10-US,CLASSIC LEATHER HEXALITE,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043608,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,5add5fa0-3dc0-452a-b622-81ca9f8a1b78
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/11US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043639,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,101cbc86-4aca-4207-bfab-06f6aa3fcd11
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074402/11US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143043639,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,5588aa99-deee-4ea3-afdd-3f5ae4b33f73
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/7-US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045770,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,ab83a3b1-7061-4d69-b430-c8fe0c4260c2
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/8US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045800,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,291da001-bec1-4ab8-8ad8-817c5465028a
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/8-US,CLASSIC LEATHER HEXALITE,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045831,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,c5f92e8a-668f-4d1c-9e36-a4e4203e3590
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/8-US,CLASSIC LEATHER HEXALITE,2024-09-01,1.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045831,36.5238,362.3161,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,0eec1f8f-4297-4974-aefb-56df5a17a040
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/9US,CLASSIC LEATHER HEXALITE,2024-09-01,6.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045862,36.5238,2173.8966,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,9a0496ba-173b-4f4b-bd5e-c61fca8d95be
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/9US,CLASSIC LEATHER HEXALITE,2024-09-01,2.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045862,36.5238,724.6322,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,30cd3394-a05e-4a02-9de2-ce681cb0ff18
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,3.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045909,36.5238,1086.9483,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,8970cade-3a5d-4c72-b8c9-dc9a2abe57a8
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/9-US,CLASSIC LEATHER HEXALITE,2024-09-01,5.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045909,36.5238,1811.5805,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,987bb741-b42f-4ae9-9ca0-c49ab2e134ca
71,1000071,2024-11-14,VL-0005,Common Project Trading DMCC,USD,9.92,Reebok SS24-Mor- M01,1000071,Based On Purchase Orders 1000036.,Goods Receipt PO - VL-0005,07/100074406/10US,CLASSIC LEATHER HEXALITE,2024-09-01,4.0,36.5238,36.5238,USD,MAR\MJ01,9.92,1200143045930,36.5238,1449.2644,0.0,,,No,1.0,MAR1,2024-11-14,invoice_data_20241130195703.json,2024-11-30,9aececc7-9914-4c5d-b7ab-7dfcf1aac17f
